date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-27T00:00:00.000Z,199.74,201.57,199.57,200.29,20899717,48.1374457365,48.5784767052,48.0964756465,48.2699960276,83598868,0.0,1.0
2019-06-28T00:00:00.000Z,197.92,199.5,197.05,198.68,31110642,47.698824773,48.0796056094,47.4891543125,47.8819851753,124442568,0.0,1.0
2019-07-01T00:00:00.000Z,201.55,204.49,200.65,203.17,27316739,48.5736566946,49.282198251,48.3567562182,48.9640775522,109266956,0.0,1.0
2019-07-02T00:00:00.000Z,202.73,203.13,201.36,201.41,16935217,48.8580373193,48.954437531,48.5278665941,48.5399166205,67740868,0.0,1.0
2019-07-03T00:00:00.000Z,204.41,204.44,202.69,203.28,11362045,49.2629182086,49.2701482245,48.8483972981,48.9905876104,45448180,0.0,1.0
2019-07-05T00:00:00.000Z,204.23,205.08,202.9,203.35,17265518,49.2195381133,49.4243885633,48.8990074093,49.0074576475,69062072,0.0,1.0
2019-07-08T00:00:00.000Z,200.02,201.4,198.41,200.81,25338628,48.2049258847,48.5375066152,47.8169150324,48.3953163029,101354512,0.0,1.0
2019-07-09T00:00:00.000Z,201.24,201.51,198.81,199.2,20578015,48.4989465305,48.5640166735,47.9133152442,48.0073054506,82312060,0.0,1.0
2019-07-10T00:00:00.000Z,203.23,203.73,201.56,201.85,17897138,48.978537584,49.0990378487,48.5760666999,48.6459568534,71588552,0.0,1.0
2019-07-11T00:00:00.000Z,201.75,204.39,201.71,203.31,20191842,48.6218568005,49.258098198,48.6122167793,48.9978176263,80767368,0.0,1.0
2019-07-12T00:00:00.000Z,203.3,204.0,202.2,202.45,17595212,48.995407621,49.1641079916,48.7303070387,48.7905571711,70380848,0.0,1.0
2019-07-15T00:00:00.000Z,205.21,205.87,204.0,204.09,16947420,49.4557186321,49.6147789815,49.1641079916,49.1857980392,67789680,0.0,1.0
2019-07-16T00:00:00.000Z,204.5,206.11,203.5,204.59,16866816,49.2846082563,49.6726191086,49.0436077269,49.3062983039,67467264,0.0,1.0
2019-07-17T00:00:00.000Z,203.35,205.09,203.27,204.05,14107450,49.0074576475,49.4267985686,48.9881776052,49.1761580181,56429800,0.0,1.0
2019-07-18T00:00:00.000Z,205.66,205.88,203.7,204.0,18582161,49.5641688703,49.6171889868,49.0918078328,49.1641079916,74328644,0.0,1.0
2019-07-19T00:00:00.000Z,202.59,206.5,202.36,205.79,20929307,48.8242972452,49.766609315,48.7688671234,49.5954989392,83717228,0.0,1.0
2019-07-22T00:00:00.000Z,207.22,207.23,203.61,203.65,22277932,49.9401296962,49.9425397015,49.0701177851,49.0797578063,89111728,0.0,1.0
2019-07-23T00:00:00.000Z,208.84,208.91,207.29,208.46,18355210,50.3305505537,50.3474205908,49.9569997332,50.2389703526,73420840,0.0,1.0
2019-07-24T00:00:00.000Z,208.67,209.15,207.17,207.67,14991567,50.2895804638,50.4052607178,49.9280796697,50.0485799344,59966268,0.0,1.0
2019-07-25T00:00:00.000Z,207.02,209.24,206.73,208.89,13909535,49.8919295903,50.4269507655,49.8220394368,50.3426005802,55638140,0.0,1.0
2019-07-26T00:00:00.000Z,207.74,209.73,207.14,207.48,17618874,50.0654499714,50.5450410249,49.9208496538,50.0027898338,70475496,0.0,1.0
2019-07-29T00:00:00.000Z,209.68,210.64,208.44,208.46,21673389,50.5329909984,50.7643515066,50.234150342,50.2389703526,86693556,0.0,1.0
2019-07-30T00:00:00.000Z,208.78,210.16,207.31,208.76,33935718,50.316090522,50.6486712525,49.9618197438,50.3112705114,135742872,0.0,1.0
2019-07-31T00:00:00.000Z,213.04,221.37,211.3,216.42,69281361,51.3427527771,53.3502871868,50.923411856,52.1573345664,277125444,0.0,1.0
2019-08-01T00:00:00.000Z,208.43,218.03,206.74,213.9,54017922,50.2317403367,52.5453454187,49.8244494421,51.5500132324,216071688,0.0,1.0
2019-08-02T00:00:00.000Z,204.02,206.43,201.63,205.53,40862122,49.1689280022,49.749739278,48.592936737,49.5328388015,163448488,0.0,1.0
2019-08-05T00:00:00.000Z,193.34,198.65,192.58,197.99,52392969,46.5950423485,47.8747551595,46.4118819462,47.7156948101,209571876,0.0,1.0
2019-08-06T00:00:00.000Z,197.0,198.07,194.04,196.31,35824787,47.477104286,47.7349748524,46.7637427191,47.3108139207,143299148,0.0,1.0
2019-08-07T00:00:00.000Z,199.04,199.56,193.82,195.41,33364400,47.9687453659,48.0940656412,46.7107226026,47.0939134443,133457600,0.0,1.0
2019-08-08T00:00:00.000Z,203.43,203.53,199.39,200.2,27009523,49.0267376898,49.0508377428,48.0530955512,48.24830598,108038092,0.0,1.0
2019-08-09T00:00:00.000Z,200.99,202.76,199.29,201.3,24619746,48.6242668058,49.0524719516,48.2129963268,48.6992631873,98478984,0.77,1.0
2019-08-12T00:00:00.000Z,200.48,202.05,199.15,199.62,22481889,48.5008856621,48.8807060456,48.1791269933,48.2928311845,89927556,0.0,1.0
2019-08-13T00:00:00.000Z,208.97,212.14,200.48,201.02,47539786,50.5548188189,51.3217173003,48.5008856621,48.6315245201,190159144,0.0,1.0
2019-08-14T00:00:00.000Z,202.75,206.44,202.59,203.16,36547443,49.0500527134,49.9427515766,49.0113449037,49.149241476,146189772,0.0,1.0
2019-08-15T00:00:00.000Z,201.74,205.14,199.67,203.46,27883363,48.8057096642,49.6282506221,48.3049273751,49.2218186194,111533452,0.0,1.0
2019-08-16T00:00:00.000Z,206.5,207.16,203.84,204.28,28813624,49.9572670053,50.1169367207,49.3137496676,49.4201961445,115254496,0.0,1.0
2019-08-19T00:00:00.000Z,210.35,212.73,210.03,210.62,24431915,50.8886736783,51.4644523489,50.8112580587,50.9539931073,97727660,0.0,1.0
2019-08-20T00:00:00.000Z,210.36,213.35,210.32,210.88,26919529,50.8910929164,51.6144451118,50.881415964,51.0168932982,107678116,0.0,1.0
2019-08-21T00:00:00.000Z,212.64,213.65,211.6,212.99,21564747,51.4426792059,51.6870222551,51.1910784422,51.5273525398,86258988,0.0,1.0
2019-08-22T00:00:00.000Z,212.46,214.44,210.75,213.19,22267819,51.3991329198,51.878142066,50.9854432028,51.575737302,89071276,0.0,1.0
2019-08-23T00:00:00.000Z,202.64,212.05,201.0,209.43,46882843,49.0234410942,51.2999441573,48.6266860439,50.666103772,187531372,0.0,1.0
2019-08-26T00:00:00.000Z,206.49,207.19,205.06,205.86,26066130,49.9548477672,50.124194435,49.6088967172,49.8024357662,104264520,0.0,1.0
2019-08-27T00:00:00.000Z,204.16,208.55,203.53,207.86,25897344,49.3911652872,50.4532108182,49.2387532862,50.2862833885,103589376,0.0,1.0
2019-08-28T00:00:00.000Z,205.53,205.72,203.32,204.1,15957632,49.7226009085,49.7685664326,49.1879492858,49.3766498585,63830528,0.0,1.0
2019-08-29T00:00:00.000Z,209.01,209.32,206.66,208.5,21007652,50.5644957713,50.6394921528,49.9959748151,50.4411146276,84030608,0.0,1.0
2019-08-30T00:00:00.000Z,208.74,210.45,207.2,210.16,21162561,50.4991763423,50.9128660594,50.1266136731,50.8427081542,84650244,0.0,1.0
2019-09-03T00:00:00.000Z,205.7,206.98,204.22,206.43,20059574,49.7637279564,50.0733904347,49.4056807159,49.9403323385,80238296,0.0,1.0
2019-09-04T00:00:00.000Z,209.19,209.48,207.32,208.39,19216820,50.6080420573,50.6781999626,50.1556445305,50.4145030084,76867280,0.0,1.0
2019-09-05T00:00:00.000Z,213.28,213.97,211.51,212.0,23946984,51.597510445,51.7644378747,51.1693052992,51.2878479667,95787936,0.0,1.0
2019-09-06T00:00:00.000Z,213.26,214.42,212.51,214.05,19362294,51.5926719688,51.8733035897,51.4112291104,51.7837917796,77449176,0.0,1.0
2019-09-09T00:00:00.000Z,214.17,216.44,211.07,214.84,27309401,51.8128226369,52.3619896883,51.0628588223,51.9749115904,109237604,0.0,1.0
2019-09-10T00:00:00.000Z,216.7,216.78,211.71,213.86,31777931,52.4248898792,52.4442437841,51.2176900615,51.7378262555,127111724,0.0,1.0
2019-09-11T00:00:00.000Z,223.59,223.71,217.73,218.07,44289646,54.0917449381,54.1207757954,52.6740714047,52.7563255005,177158584,0.0,1.0
2019-09-12T00:00:00.000Z,223.09,226.42,222.86,224.8,32226669,53.9707830325,54.7763893237,53.915140556,54.3844727496,128906676,0.0,1.0
2019-09-13T00:00:00.000Z,218.75,220.79,217.02,220.0,39763296,52.9208336921,53.4143582668,52.5023054988,53.223238456,159053184,0.0,1.0
